Topoloji_No,Heuristic_Sum_km,Heuristic_Time_s,OR_Tools_Sum_km,OR_Tools_Time_s,Genetic_Sum_km,Genetic_Time_s
1,40.63340291061902,0.0019998550415039062,39.35760756691535,5.052096128463745,44.04961819207276,0.013016223907470703
2,59.40090521468253,0.002000570297241211,58.84754136467822,5.035289287567139,59.66779734834348,0.04439282417297363
3,34.56357411500299,0.001981496810913086,32.15329670015259,5.011357545852661,32.631645543383456,0.011240005493164062
4,57.05362920965451,0.0010080337524414062,56.80897724734797,5.010321140289307,57.47967681726627,0.010959625244140625
5,56.16207608146738,0.0012233257293701172,50.848044171709375,5.029871225357056,51.51563574056654,0.013222217559814453
6,61.306658000463095,0.0009989738464355469,57.170332577191495,5.006690502166748,59.68870709782655,0.011466503143310547
7,62.93753682630561,0.0010421276092529297,57.82487007135613,5.012579441070557,58.60429627760967,0.012679338455200195
8,44.07188180727475,0.0010635852813720703,41.667139172933226,5.016961574554443,43.269213855569376,0.014152050018310547
9,85.14174185537007,0.0036399364471435547,84.06963041496066,5.019190549850464,84.38695863303788,0.024058818817138672
10,48.43389829559769,0.001064300537109375,45.35099765130063,5.051050424575806,48.49986607103055,0.015997886657714844
11,72.89292753980281,0.0012154579162597656,70.07943359416444,5.0093348026275635,71.93298708266639,0.014425992965698242
12,53.96576535966723,0.0009999275207519531,53.56899631017714,5.016229629516602,54.59232340545036,0.015244483947753906
13,38.001833724445966,0.0010001659393310547,37.36284220978453,5.023396968841553,39.13559702850392,0.032196998596191406
14,31.047483387368214,0.001999378204345703,30.01775769114289,5.023489475250244,30.628342659619655,0.023508787155151367
15,66.91913973033326,0.0010149478912353516,58.4971251885626,5.01173996925354,59.763970129225456,0.012859821319580078
16,29.762935772800784,0.0013034343719482422,28.212644201274777,5.023700475692749,29.240221482617226,0.014377355575561523
17,44.523905264282675,0.0010020732879638672,41.09310380865041,5.013911485671997,42.40757079161223,0.012001514434814453
18,48.744428079866616,0.0010535717010498047,44.76104703700844,5.029309272766113,45.4078849544985,0.014714956283569336
19,44.28536489319457,0.0010154247283935547,39.78298222738119,5.009098529815674,43.233932759599156,0.013448715209960938
20,43.13640372314422,0.0009999275207519531,42.48863957920892,5.011229753494263,44.75363341621715,0.012444734573364258
21,60.91009967572804,0.002000093460083008,56.86657701581408,5.02642822265625,57.85280751903717,0.018239974975585938
22,38.80114442402508,0.002063274383544922,37.30520411018724,5.016440391540527,38.442206861983856,0.035894155502319336
23,62.18575022718026,0.0010039806365966797,60.69501265353788,5.017082929611206,67.78077233488355,0.020594120025634766
24,61.376318410905526,0.0025153160095214844,55.75775881377995,5.026663303375244,57.161656521158335,0.01799607276916504
25,53.55753105508583,0.0019643306732177734,50.97032989908168,5.018412828445435,53.01774171855925,0.021622896194458008
26,53.7275522778399,0.0009996891021728516,52.693877214316366,5.012203693389893,54.427061268660545,0.012035131454467773
27,39.01407297527692,0.004025936126708984,35.93252880557763,5.045630693435669,36.254892172029805,0.024453163146972656
28,66.6637846920097,0.0020051002502441406,66.28192684429355,5.022559642791748,69.3186505531515,0.012206077575683594
29,36.30406338690004,0.004752635955810547,34.340962114972726,5.037286996841431,39.19491557450129,0.02783942222595215
30,64.03384037810646,0.0019960403442382812,62.080591727849374,5.026451826095581,63.42081154289331,0.025172710418701172
